SE_name_2014Q3_2024Q3,recommended_SE_name,recommended_umls_cui_from_meddra,cosine_similarity
17-hydroxyprogesterone increased,human chorionic gonadotropin increased,C3203514,0.6474383758859249
21-hydroxylase deficiency,Mineralocorticoid deficiency,C1955743,0.6369145342000924
ACTH stimulation test abnormal,blood corticotrophin abnormal,C0853597,0.747983713264604
AIDS related complication,AIDS dementia complex,C0001849,0.786690389175638
AST/ALT ratio abnormal,Alanine aminotransferase abnormal,C0855619,0.7493940979089637
Abasia,Abasia,C0877217,1.0000000000000004
Abdominal abscess,Abdominal abscess,C0243001,0.9999999999999988
Abdominal adhesions,Abdominal adhesions,C0549357,1.0000000000000013
Abdominal cavity drainage,abdominal cavity drainage,C1167781,0.999999999999999
Abdominal compartment syndrome,abdominal compartment syndrome,C1142110,1.0000000000000024
Abdominal discomfort,Abdominal discomfort,C0232487,1.0000000000000009
Abdominal distension,Abdominal distension,C0000731,1.0
Abdominal hernia,Abdominal hernia,C0178282,1.0
Abdominal infection,Abdominal infection,C1112209,1.0000000000000004
Abdominal lymphadenopathy,Enlargement abdomen,C0392025,0.7843376760203699
Abdominal mass,abdominal mass,C0000734,1.000000000000001
Abdominal operation,abdominal exploration,C0085704,0.7004861031054114
Abdominal pain,Abdominal pain,C0000737,1.0000000000000016
Abdominal pain lower,Abdominal pain lower,C0232495,1.000000000000001
Abdominal pain upper,Abdominal pain upper,C0232492,1.0000000000000002
Abdominal rigidity,Abdominal rigidity,C0159066,1.0
Abdominal sepsis,Abdominal sepsis,C1141926,0.9999999999999996
Abdominal tenderness,Abdominal tenderness,C0232498,1.0000000000000004
Abdominal wall abscess,Abdominal wall abscess,C0263105,0.9999999999999996
Abdominal wall disorder,abdominal wall disorder,C1290865,0.9999999999999996
Abdominal wall haematoma,abdominal wall haematoma,C1963746,1.0000000000000004
Abdominal wall haemorrhage,abdominal wall haematoma,C1963746,0.8759246525882083
Abdominoplasty,prolapse repair,C0856413,0.5770887337896803
Abnormal behaviour,Abnormal behaviour,C0233514,1.0000000000000004
Abnormal clotting factor,Abnormal clotting factor,C0877331,0.9999999999999997
Abnormal dreams,Abnormal dreams,C0234458,0.9999999999999991
Abnormal faeces,Abnormal faeces,C0162287,1.0000000000000013
Abnormal loss of weight,Weight decreased,C0043096,0.8769093646807127
Abnormal sensation in eye,Abnormal sensation in eye,C0497201,0.9999999999999996
Abnormal sleep-related event,Abnormal sleep-related event,C0855246,0.9999999999999983
Abnormal uterine bleeding,Uterine haemorrhage,C0042134,0.7508435260724187
Abnormal weight gain,abnormal weight gain,C0332544,1.0000000000000002
Abnormal withdrawal bleeding,Abnormal withdrawal bleeding,C2609183,0.9999999999999996
Abortion,Abortion,C0156543,0.9999999999999998
Abortion induced,Abortion,C0156543,0.8874599214827094
Abortion missed,Abortion missed,C0000814,1.0000000000000004
Abortion spontaneous,Abortion spontaneous,C0000786,1.0000000000000002
Abortion threatened,Abortion missed,C0000814,0.6897068881915721
Abscess,Abscess,C0000833,1.0000000000000009
Abscess bacterial,Abscess,C0000833,0.903602757111926
Abscess fungal,Abscess,C0000833,0.8040589825416757
Abscess intestinal,abscess intestinal,C0156185,1.0000000000000013
Abscess jaw,abscess jaw,C0266963,1.0000000000000016
Abscess limb,Abscess limb,C0578455,0.9999999999999998
Abscess neck,pharyngeal abscess,C0264292,0.7714491640047912
Abscess oral,abscess jaw,C0266963,0.8054194953845036
Abscess rupture,Abscess,C0000833,0.8065450101822206
Abulia,Abasia,C0877217,0.5874027925978826
Acantholysis,Epidermolysis,C0333472,0.6786132416538389
Acanthosis,Acanthosis nigricans,C0000889,0.794165153789025
Acanthosis nigricans,Acanthosis nigricans,C0000889,1.0000000000000009
Acarodermatitis,Acarodermatitis,C1504343,1.000000000000001
Accelerated hypertension,Secondary hypertension,C0155616,0.8090381807952242
Accelerated idioventricular rhythm,Rhythm idioventricular,C0700363,0.84122572698343
Accessory spleen,Splenomegaly,C0038002,0.7401456948697441
Accident,Accident,C0000924,1.0000000000000002
Accident at work,accident at work,C0586557,1.0000000000000009
Accidental death,accidental death,C0277638,0.9999999999999997
Accidental exposure to product,Accidental exposure to product,C3544060,1.0000000000000002
Accidental exposure to product by child,Accidental exposure to product,C3544060,0.7690004433949219
Accidental exposure to product packaging,product packaging issue,C2721584,0.7562455533005668
Accidental overdose,Accidental overdose,C0151821,1.0000000000000004
Accidental poisoning,Accidental ingestion,C0857807,0.8425635860244955
Accidental underdose,underdose,C1112363,0.7733234597013597
Accommodation disorder,Accommodation disorder,C0152198,1.0000000000000004
Acetabulum fracture,Hip fracture,C0019557,0.735900821095771
Acetonaemia,Acetonaemia,C1260871,0.9999999999999993
Achlorhydria,Hyperchlorhydria,C0151713,0.8589491503779582
Acid base balance abnormal,acid base balance abnormal,C0853359,1.0000000000000002
Acid fast bacilli infection,Tuberculosis,C0041296,0.6574109292386658
Acid-base balance disorder mixed,acid base balance abnormal,C0853359,0.7223773558212246
Acidosis,Acidosis,C0001122,1.0000000000000007
Acidosis hyperchloraemic,Acidosis hyperchloraemic,C0085569,1.0000000000000004
Acinetobacter infection,Pseudomonas infection,C0033817,0.6519247658109385
Acinetobacter test positive,pseudomonas test positive,C2748111,0.6480376658113516
Acne,Acne,C0702166,1.0000000000000013
Acquired Von Willebrand^s disease,Acquired haemophilia,C1096116,0.6515623481021823
Acquired apparent mineralocorticoid excess,Mineralocorticoid deficiency,C1955743,0.7812789811666166
Acquired corneal dystrophy,corneal dystrophy,C0010036,0.8669656358680095
Acquired diaphragmatic eventration,Congenital diaphragmatic hernia,C0235833,0.6242816553658764
Acquired epidermolysis bullosa,acquired epidermolysis bullosa,C0079293,1.0000000000000018
Acquired factor V deficiency,Factor II deficiency,C0020640,0.6216653286173205
Acquired gene mutation,acquired gene mutation,C2747834,0.9999999999999999
Acquired haemophilia,Acquired haemophilia,C1096116,0.9999999999999993
Acquired macroglossia,Protrusion tongue,C0241442,0.6946030582371249
Acquired mitochondrial DNA mutation,acquired gene mutation,C2747834,0.7798561937687197
Acquired pigmented retinopathy,retinal pigment epitheliopathy,C0860552,0.6721554846409842
Acquired porphyria,Porphyria aggravated,C0856148,0.8296346762752863
Acquired pyrimidine metabolism disorder,Purine metabolism disorder,C0268104,0.5427575700149134
Acrochordon,Acrochordon,C0037293,1.0000000000000004
Actinic keratosis,Actinic keratosis,C0022602,1.0000000000000007
Actinomycosis,actinomycosis,C0001261,1.0
Action tremor,Action tremor,C0234376,1.0000000000000002
Activated partial thromboplastin time abnormal,Activated partial thromboplastin time prolonged,C0240671,0.8113651213645932
Activated partial thromboplastin time prolonged,Activated partial thromboplastin time prolonged,C0240671,1.0000000000000007
Activated partial thromboplastin time shortened,activated partial thromboplastin time shortened,C0853224,0.9999999999999999
Activation syndrome,Activation syndrome,C1868709,1.0000000000000013
Activities of daily living impaired,Walking disability,C0311394,0.6990365037626443
Acute abdomen,Acute abdomen,C0000727,0.9999999999999999
Acute allograft nephropathy,Chronic allograft nephropathy,C0403592,0.8835027849710196
Acute cardiac event,Acute coronary syndrome,C0948089,0.8273719750806912
Acute chest syndrome,acute chest syndrome,C0742343,1.0000000000000004
Acute coronary syndrome,Acute coronary syndrome,C0948089,1.000000000000001
Acute erythroid leukaemia,Erythroleukaemia,C0023440,0.8178805548006554
Acute febrile neutrophilic dermatosis,Acute febrile neutrophilic dermatosis,C0085077,1.0000000000000004
Acute generalised exanthematous pustulosis,Acute generalised exanthematous pustulosis,C0877055,1.0000000000000002
Acute graft versus host disease,Acute graft versus host disease,C0856825,0.9999999999999997
Acute graft versus host disease in intestine,acute graft versus host disease in intestine,C1737219,1.0000000000000009
Acute graft versus host disease in liver,acute graft versus host disease in liver,C1739104,1.0000000000000009
Acute graft versus host disease in skin,graft versus host disease in skin,C1610605,0.8843273525153563
Acute hepatic failure,Acute hepatic failure,C0162557,0.9999999999999999
Acute hepatitis C,Hepatitis C,C0019196,0.8712751689173642
Acute interstitial pneumonitis,Acute interstitial pneumonitis,C1279945,1.0000000000000007
Acute kidney injury,Acute kidney injury,C2609414,1.0000000000000013
Acute left ventricular failure,acute left ventricular failure,C1306063,1.0000000000000002
Acute leukaemia,Acute leukaemia,C0085669,0.9999999999999992
Acute lung injury,Acute kidney injury,C2609414,0.7543215666266818
Acute lymphocytic leukaemia,Acute lymphocytic leukaemia,C0023449,1.0000000000000002
Acute lymphocytic leukaemia recurrent,acute lymphocytic leukaemia recurrent,C1504403,1.0000000000000002
Acute monocytic leukaemia,acute myelomonocytic leukaemia,C0023479,0.8598382261376576
Acute motor-sensory axonal neuropathy,acute polyneuropathy,C0852421,0.7537213322682114
Acute myeloid leukaemia,Acute myeloid leukaemia,C0023467,1.0000000000000002
Acute myeloid leukaemia recurrent,acute lymphocytic leukaemia recurrent,C1504403,0.8276260011510955
Acute myocardial infarction,Acute myocardial infarction,C0155626,1.0000000000000013
Acute myopia,Myopia transient,C0858775,0.8539311532917208
Acute on chronic liver failure,Chronic hepatic failure,C0400930,0.8326951729860486
Acute prerenal failure,Acute prerenal failure,C1167654,1.0000000000000009
Acute psychosis,Acute psychosis,C0281774,1.0000000000000004
Acute pulmonary histoplasmosis,Histoplasmosis,C0019655,0.7734196132449642
Acute pulmonary oedema,Acute pulmonary oedema,C0155919,1.0000000000000009
Acute respiratory distress syndrome,Acute respiratory distress syndrome,C0035222,1.0
Acute respiratory failure,Acute respiratory failure,C0264490,1.0000000000000007
Acute right ventricular failure,Right ventricular failure,C2939447,0.8572888446581546
Acute sinusitis,Acute sinusitis,C0149512,1.0000000000000002
Acute vestibular syndrome,Vestibular neuronitis,C0751908,0.7767629043264282
Addison^s disease,Addison's disease,C0001403,0.9934990637822855
Adenocarcinoma,Adenocarcinoma,C0001418,1.0000000000000007
Adenocarcinoma gastric,adenocarcinoma gastric,C0278701,0.9999999999999989
Adenocarcinoma metastatic,Metastatic carcinoma,C1384494,0.886549911567175
Adenocarcinoma of colon,adenocarcinoma of colon,C0338106,1.000000000000001
Adenocarcinoma pancreas,Adenocarcinoma pancreas,C0281361,1.0000000000000009
Adenoidal disorder,tonsillar disorder,C0272380,0.7210999610853586
Adenoma benign,Adenoma benign,C0001430,1.0000000000000013
Adenoviral haemorrhagic cystitis,Cystitis haemorrhagic,C0085692,0.6632611927582944
Adenovirus infection,Adenovirus infection,C0001486,1.0000000000000004
Adjustment disorder,Adjustment disorder,C0001546,1.0000000000000002
Adjustment disorder with depressed mood,Adjustment disorder,C0001546,0.7712280359998838
Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorder,C0001546,0.6679763942697866
Adjustment disorder with mixed disturbance of emotion and conduct,Adjustment disorder,C0001546,0.7289121978910968
Administration site discomfort,Application site discomfort,C1328375,0.8732136510832378
Administration site oedema,Infusion site oedema,C0919986,0.8801984732774157
Administration site pain,Application site pain,C0521491,0.8539069711145897
Administration site pruritus,Application site pruritus,C0853714,0.8965129924873432
Adnexa uteri pain,Adnexa uteri pain,C1142117,1.0000000000000016
Adnexal torsion,Adnexal torsion,C0740804,1.0000000000000002
Adrenal adenoma,adrenal adenoma,C0206667,0.9999999999999989
Adrenal cyst,adrenal adenoma,C0206667,0.6972514527147983
